X1,X2,D1,D2,Iteration
15.568611553385365,485.7277806409992,15.829278884605017,464.2346699902097,1
22.670366430421158,1726.7165013544982,22.196050172063977,1548.235813224885,2
35.10437487004346,7054.398519770879,33.69127135599635,6193.130018032393,3
61.38336627858063,31784.115850504957,58.13658554038414,27700.52875619703,4
118.87762442192722,149493.28459623872,111.67571521832039,129935.68783506563,5
245.39972331176543,715790.4729796438,229.51494770241945,621474.2049824991,6
524.0941960188158,3453452.1850808156,489.09098723644746,2997027.828769379,7
1138.0826681660667,16717396.217019083,1060.9626465935487,14505008.91766904,8
2490.789637618149,81045599.52973707,2320.881093593273,70313617.49196476,9
5471.01551991116,393170406.3694438,5096.679659594274,341093209.47331196,10
12036.926063111767,1907934998.7031374,11212.204519803166,1655189769.693557,11
26502.67072757534,9259890419.592821,24685.677978968102,8033160138.124062,12
58373.00641171663,44944350905.32398,54369.88243527172,38990072074.959984,13
128588.42385148421,218150707105.3228,119768.90515436837,189249526168.0669,14
283284.1540131679,1058872563179.1874,263853.35185346194,918589614242.1351,15
624103.447057598,5139646954173.187,581294.3000392171,4458727894807.41,16
1374982.5462535252,24947327346623.99,1280667.1879192754,21642211495085.43,17
3029288.605556911,121091952809517.25,2821496.873246124,105049227306046.92,18
6673987.919707259,587769134348675.2,6216189.690667175,509899212230816.9,19
