MuP,NLL,MuT,OptMuP,BFMuP
9.0,1796.7360055230952,0.08,15.0,13.195979899497488
9.025125628140703,1792.5772648671407,0.08,15.0,13.195979899497488
9.050251256281408,1788.4550162576963,0.08,15.0,13.195979899497488
9.075376884422111,1784.3690572788305,0.08,15.0,13.195979899497488
9.100502512562814,1780.3191871925371,0.08,15.0,13.195979899497488
9.125628140703517,1776.3052069202065,0.08,15.0,13.195979899497488
9.150753768844222,1772.3269190243493,0.08,15.0,13.195979899497488
9.175879396984925,1768.3841276905919,0.08,15.0,13.195979899497488
9.201005025125628,1764.4766387099362,0.08,15.0,13.195979899497488
9.226130653266331,1760.6042594611745,0.08,15.0,13.195979899497488
9.251256281407036,1756.7667988936869,0.08,15.0,13.195979899497488
9.27638190954774,1752.9640675103046,0.08,15.0,13.195979899497488
9.301507537688442,1749.195877350548,0.08,15.0,13.195979899497488
9.326633165829145,1745.4620419740186,0.08,15.0,13.195979899497488
9.35175879396985,1741.7623764440182,0.08,15.0,13.195979899497488
9.376884422110553,1738.096697311401,0.08,15.0,13.195979899497488
9.402010050251256,1734.464822598635,0.08,15.0,13.195979899497488
9.42713567839196,1730.8665717840952,0.08,15.0,13.195979899497488
9.452261306532664,1727.3017657865134,0.08,15.0,13.195979899497488
9.477386934673367,1723.7702269497233,0.08,15.0,13.195979899497488
9.50251256281407,1720.2717790274924,0.08,15.0,13.195979899497488
9.527638190954773,1716.8062471686628,0.08,15.0,13.195979899497488
9.552763819095478,1713.3734579024242,0.08,15.0,13.195979899497488
9.577889447236181,1709.9732391237794,0.08,15.0,13.195979899497488
9.603015075376884,1706.6054200792362,0.08,15.0,13.195979899497488
9.628140703517587,1703.2698313526917,0.08,15.0,13.195979899497488
9.653266331658292,1699.9663048513858,0.08,15.0,13.195979899497488
9.678391959798995,1696.6946737922342,0.08,15.0,13.195979899497488
9.703517587939698,1693.4547726881578,0.08,15.0,13.195979899497488
9.728643216080402,1690.2464373346907,0.08,15.0,13.195979899497488
9.753768844221106,1687.0695047967233,0.08,15.0,13.195979899497488
9.77889447236181,1683.9238133954152,0.08,15.0,13.195979899497488
9.804020100502512,1680.8092026953152,0.08,15.0,13.195979899497488
9.829145728643216,1677.7255134915622,0.08,15.0,13.195979899497488
9.85427135678392,1674.672587797335,0.08,15.0,13.195979899497488
9.879396984924623,1671.6502688314717,0.08,15.0,13.195979899497488
9.904522613065327,1668.6584010060824,0.08,15.0,13.195979899497488
9.92964824120603,1665.6968299145635,0.08,15.0,13.195979899497488
9.954773869346734,1662.765402319565,0.08,15.0,13.195979899497488
9.979899497487438,1659.8639661412158,0.08,15.0,13.195979899497488
10.00502512562814,1656.9923704454548,0.08,15.0,13.195979899497488
10.030150753768844,1654.1504654324858,0.08,15.0,13.195979899497488
10.055276381909549,1651.3381024254697,0.08,15.0,13.195979899497488
10.080402010050252,1648.5551338592536,0.08,15.0,13.195979899497488
10.105527638190955,1645.8014132692683,0.08,15.0,13.195979899497488
10.130653266331658,1643.0767952806345,0.08,15.0,13.195979899497488
10.155778894472363,1640.3811355972734,0.08,15.0,13.195979899497488
10.180904522613066,1637.7142909913014,0.08,15.0,13.195979899497488
10.206030150753769,1635.0761192923796,0.08,15.0,13.195979899497488
10.231155778894472,1632.4664793774184,0.08,15.0,13.195979899497488
10.256281407035177,1629.8852311601704,0.08,15.0,13.195979899497488
10.28140703517588,1627.3322355811001,0.08,15.0,13.195979899497488
10.306532663316583,1624.8073545973746,0.08,15.0,13.195979899497488
10.331658291457286,1622.3104511728827,0.08,15.0,13.195979899497488
10.35678391959799,1619.8413892684844,0.08,15.0,13.195979899497488
10.381909547738694,1617.4000338322533,0.08,15.0,13.195979899497488
10.407035175879397,1614.986250790023,0.08,15.0,13.195979899497488
10.4321608040201,1612.5999070358068,0.08,15.0,13.195979899497488
10.457286432160805,1610.2408704225406,0.08,15.0,13.195979899497488
10.482412060301508,1607.9090097528353,0.08,15.0,13.195979899497488
10.507537688442211,1605.6041947698693,0.08,15.0,13.195979899497488
10.532663316582914,1603.32629614834,0.08,15.0,13.195979899497488
10.557788944723619,1601.0751854856098,0.08,15.0,13.195979899497488
10.582914572864322,1598.8507352928636,0.08,15.0,13.195979899497488
10.608040201005025,1596.6528189864712,0.08,15.0,13.195979899497488
10.633165829145728,1594.4813108793408,0.08,15.0,13.195979899497488
