JudgeName,FullAssignment,Assignment,Date,AssignmentType,StartDate,WorkType,Week,County,Circuit,Days
ALFORD,Union GS,Union GS,2000-12-04,Single,2000-12-04,GS,49-2000,Union,16,1.0
ALFORD,Union GS,Union GS,2000-12-05,Single,2000-12-04,GS,49-2000,Union,16,1.0
ALFORD,Union GS,Union GS,2000-12-06,Single,2000-12-04,GS,49-2000,Union,16,1.0
ALFORD,Union GS,Union GS,2000-12-07,Single,2000-12-04,GS,49-2000,Union,16,1.0
ALFORD,Union GS,Union GS,2000-12-08,Single,2000-12-04,GS,49-2000,Union,16,1.0
BARBER,Richland CP,Richland CP,2000-12-04,Single,2000-12-04,CP,49-2000,Richland,5,1.0
BARBER,Richland CP,Richland CP,2000-12-05,Single,2000-12-04,CP,49-2000,Richland,5,1.0
BARBER,Richland CP,Richland CP,2000-12-06,Single,2000-12-04,CP,49-2000,Richland,5,1.0
BARBER,Richland CP,Richland CP,2000-12-07,Single,2000-12-04,CP,49-2000,Richland,5,1.0
BARBER,Richland CP,Richland CP,2000-12-08,Single,2000-12-04,CP,49-2000,Richland,5,1.0
BAXLEY,Williamsburg GS,Williamsburg GS,2000-12-04,Single,2000-12-04,GS,49-2000,Williamsburg,3,1.0
BAXLEY,Williamsburg GS,Williamsburg GS,2000-12-05,Single,2000-12-04,GS,49-2000,Williamsburg,3,1.0
BAXLEY,Williamsburg GS,Williamsburg GS,2000-12-06,Single,2000-12-04,GS,49-2000,Williamsburg,3,1.0
BAXLEY,Williamsburg GS,Williamsburg GS,2000-12-07,Single,2000-12-04,GS,49-2000,Williamsburg,3,1.0
BAXLEY,Williamsburg GS,Williamsburg GS,2000-12-08,Single,2000-12-04,GS,49-2000,Williamsburg,3,1.0
BEATTY,7th Cir. CPNJ,7th Cir. CPNJ,2000-12-04,Single,2000-12-04,CPNJ,49-2000,7th Cir.,7,1.0
BEATTY,7th Cir. CPNJ,7th Cir. CPNJ,2000-12-05,Single,2000-12-04,CPNJ,49-2000,7th Cir.,7,1.0
BEATTY,7th Cir. CPNJ,7th Cir. CPNJ,2000-12-06,Single,2000-12-04,CPNJ,49-2000,7th Cir.,7,1.0
BEATTY,7th Cir. CPNJ,7th Cir. CPNJ,2000-12-07,Single,2000-12-04,CPNJ,49-2000,7th Cir.,7,1.0
BEATTY,7th Cir. CPNJ,7th Cir. CPNJ,2000-12-08,Single,2000-12-04,CPNJ,49-2000,7th Cir.,7,1.0
BREEDEN,Horry GS,Horry GS,2000-12-04,Single,2000-12-04,GS,49-2000,Horry,15,1.0
BREEDEN,Horry GS,Horry GS,2000-12-05,Single,2000-12-04,GS,49-2000,Horry,15,1.0
BREEDEN,Horry GS,Horry GS,2000-12-06,Single,2000-12-04,GS,49-2000,Horry,15,1.0
BREEDEN,Horry GS,Horry GS,2000-12-07,Single,2000-12-04,GS,49-2000,Horry,15,1.0
BREEDEN,Horry GS,Horry GS,2000-12-08,Single,2000-12-04,GS,49-2000,Horry,15,1.0
BROGDON,Marion GS,Marion GS,2000-12-04,Single,2000-12-04,GS,49-2000,Marion,12,1.0
BROGDON,Marion GS,Marion GS,2000-12-05,Single,2000-12-04,GS,49-2000,Marion,12,1.0
BROGDON,Marion GS,Marion GS,2000-12-06,Single,2000-12-04,GS,49-2000,Marion,12,1.0
BROGDON,Marion GS,Marion GS,2000-12-07,Single,2000-12-04,GS,49-2000,Marion,12,1.0
BROGDON,Marion GS,Marion GS,2000-12-08,Single,2000-12-04,GS,49-2000,Marion,12,1.0
BUCKNER,Colleton GS,Colleton GS,2000-12-04,Single,2000-12-04,GS,49-2000,Colleton,14,1.0
BUCKNER,Colleton GS,Colleton GS,2000-12-05,Single,2000-12-04,GS,49-2000,Colleton,14,1.0
BUCKNER,Colleton GS,Colleton GS,2000-12-06,Single,2000-12-04,GS,49-2000,Colleton,14,1.0
BUCKNER,Colleton GS,Colleton GS,2000-12-07,Single,2000-12-04,GS,49-2000,Colleton,14,1.0
BUCKNER,Colleton GS,Colleton GS,2000-12-08,Single,2000-12-04,GS,49-2000,Colleton,14,1.0
BURCH,Jasper CP,Jasper CP,2000-12-04,Single,2000-12-04,CP,49-2000,Jasper,14,1.0
BURCH,Jasper CP,Jasper CP,2000-12-05,Single,2000-12-04,CP,49-2000,Jasper,14,1.0
BURCH,Jasper CP,Jasper CP,2000-12-06,Single,2000-12-04,CP,49-2000,Jasper,14,1.0
BURCH,Jasper CP,Jasper CP,2000-12-07,Single,2000-12-04,CP,49-2000,Jasper,14,1.0
BURCH,Jasper CP,Jasper CP,2000-12-08,Single,2000-12-04,CP,49-2000,Jasper,14,1.0
CLARY,Medical,Medical,2000-12-04,Single,2000-12-04,Medical,49-2000,Medical,na,1.0
CLARY,Medical,Medical,2000-12-05,Single,2000-12-04,Medical,49-2000,Medical,na,1.0
CLARY,Medical,Medical,2000-12-06,Single,2000-12-04,Medical,49-2000,Medical,na,1.0
CLARY,Medical,Medical,2000-12-07,Single,2000-12-04,Medical,49-2000,Medical,na,1.0
CLARY,Medical,Medical,2000-12-08,Single,2000-12-04,Medical,49-2000,Medical,na,1.0
COLE,Cherokee CP,Cherokee CP,2000-12-04,Single,2000-12-04,CP,49-2000,Cherokee,7,1.0
COLE,Cherokee CP,Cherokee CP,2000-12-05,Single,2000-12-04,CP,49-2000,Cherokee,7,1.0
COLE,Cherokee CP,Cherokee CP,2000-12-06,Single,2000-12-04,CP,49-2000,Cherokee,7,1.0
COLE,Cherokee CP,Cherokee CP,2000-12-07,Single,2000-12-04,CP,49-2000,Cherokee,7,1.0
COLE,Cherokee CP,Cherokee CP,2000-12-08,Single,2000-12-04,CP,49-2000,Cherokee,7,1.0
COOPER TW,Lee GS ,Lee GS,2000-12-04,Single,2000-12-04,GS,49-2000,Lee,3,1.0
COOPER TW,Lee GS ,Lee GS,2000-12-05,Single,2000-12-04,GS,49-2000,Lee,3,1.0
COOPER TW,Lee GS ,Lee GS,2000-12-06,Single,2000-12-04,GS,49-2000,Lee,3,1.0
COOPER TW,Lee GS ,Lee GS,2000-12-07,Single,2000-12-04,GS,49-2000,Lee,3,1.0
COOPER TW,Lee GS ,Lee GS,2000-12-08,Single,2000-12-04,GS,49-2000,Lee,3,1.0
DENNIS,Berkeley CP + Charleston GS(SGJ) 8,Charleston GS(SGJ),2000-12-08,MultipleSD,2000-12-04,GS(SGJ),49-2000,Charleston,9,1.0
DENNIS,Berkeley CP + Charleston GS(SGJ) 8,Berkeley CP,2000-12-04,MultipleSD,2000-12-04,CP,49-2000,Berkeley,9,1.0
DENNIS,Berkeley CP + Charleston GS(SGJ) 8,Berkeley CP,2000-12-05,MultipleSD,2000-12-04,CP,49-2000,Berkeley,9,1.0
DENNIS,Berkeley CP + Charleston GS(SGJ) 8,Berkeley CP,2000-12-06,MultipleSD,2000-12-04,CP,49-2000,Berkeley,9,1.0
DENNIS,Berkeley CP + Charleston GS(SGJ) 8,Berkeley CP,2000-12-07,MultipleSD,2000-12-04,CP,49-2000,Berkeley,9,1.0
FEW,Greenville GS,Greenville GS,2000-12-04,Single,2000-12-04,GS,49-2000,Greenville,13,1.0
FEW,Greenville GS,Greenville GS,2000-12-05,Single,2000-12-04,GS,49-2000,Greenville,13,1.0
FEW,Greenville GS,Greenville GS,2000-12-06,Single,2000-12-04,GS,49-2000,Greenville,13,1.0
FEW,Greenville GS,Greenville GS,2000-12-07,Single,2000-12-04,GS,49-2000,Greenville,13,1.0
FEW,Greenville GS,Greenville GS,2000-12-08,Single,2000-12-04,GS,49-2000,Greenville,13,1.0
FLOYD H,13th Cir. CPNJ/PCR,13th Cir. CPNJ/PCR,2000-12-04,Single,2000-12-04,CPNJ/PCR,49-2000,13th Cir.,13,1.0
FLOYD H,13th Cir. CPNJ/PCR,13th Cir. CPNJ/PCR,2000-12-05,Single,2000-12-04,CPNJ/PCR,49-2000,13th Cir.,13,1.0
FLOYD H,13th Cir. CPNJ/PCR,13th Cir. CPNJ/PCR,2000-12-06,Single,2000-12-04,CPNJ/PCR,49-2000,13th Cir.,13,1.0
FLOYD H,13th Cir. CPNJ/PCR,13th Cir. CPNJ/PCR,2000-12-07,Single,2000-12-04,CPNJ/PCR,49-2000,13th Cir.,13,1.0
FLOYD H,13th Cir. CPNJ/PCR,13th Cir. CPNJ/PCR,2000-12-08,Single,2000-12-04,CPNJ/PCR,49-2000,13th Cir.,13,1.0
FLOYD S,Horry GS,Horry GS,2000-12-04,Single,2000-12-04,GS,49-2000,Horry,15,1.0
FLOYD S,Horry GS,Horry GS,2000-12-05,Single,2000-12-04,GS,49-2000,Horry,15,1.0
FLOYD S,Horry GS,Horry GS,2000-12-06,Single,2000-12-04,GS,49-2000,Horry,15,1.0
FLOYD S,Horry GS,Horry GS,2000-12-07,Single,2000-12-04,GS,49-2000,Horry,15,1.0
FLOYD S,Horry GS,Horry GS,2000-12-08,Single,2000-12-04,GS,49-2000,Horry,15,1.0
GOODE,Lexington CP,Lexington CP,2000-12-04,Single,2000-12-04,CP,49-2000,Lexington,11,1.0
GOODE,Lexington CP,Lexington CP,2000-12-05,Single,2000-12-04,CP,49-2000,Lexington,11,1.0
GOODE,Lexington CP,Lexington CP,2000-12-06,Single,2000-12-04,CP,49-2000,Lexington,11,1.0
GOODE,Lexington CP,Lexington CP,2000-12-07,Single,2000-12-04,CP,49-2000,Lexington,11,1.0
GOODE,Lexington CP,Lexington CP,2000-12-08,Single,2000-12-04,CP,49-2000,Lexington,11,1.0
GOODSTEIN,Orangeburg GS,Orangeburg GS,2000-12-04,Single,2000-12-04,GS,49-2000,Orangeburg,1,1.0
GOODSTEIN,Orangeburg GS,Orangeburg GS,2000-12-05,Single,2000-12-04,GS,49-2000,Orangeburg,1,1.0
GOODSTEIN,Orangeburg GS,Orangeburg GS,2000-12-06,Single,2000-12-04,GS,49-2000,Orangeburg,1,1.0
GOODSTEIN,Orangeburg GS,Orangeburg GS,2000-12-07,Single,2000-12-04,GS,49-2000,Orangeburg,1,1.0
GOODSTEIN,Orangeburg GS,Orangeburg GS,2000-12-08,Single,2000-12-04,GS,49-2000,Orangeburg,1,1.0
GREGORY,Beaufort GS,Beaufort GS,2000-12-04,Single,2000-12-04,GS,49-2000,Beaufort,14,1.0
GREGORY,Beaufort GS,Beaufort GS,2000-12-05,Single,2000-12-04,GS,49-2000,Beaufort,14,1.0
GREGORY,Beaufort GS,Beaufort GS,2000-12-06,Single,2000-12-04,GS,49-2000,Beaufort,14,1.0
GREGORY,Beaufort GS,Beaufort GS,2000-12-07,Single,2000-12-04,GS,49-2000,Beaufort,14,1.0
GREGORY,Beaufort GS,Beaufort GS,2000-12-08,Single,2000-12-04,GS,49-2000,Beaufort,14,1.0
HALL,Anderson GS,Anderson GS,2000-12-04,Single,2000-12-04,GS,49-2000,Anderson,10,1.0
HALL,Anderson GS,Anderson GS,2000-12-05,Single,2000-12-04,GS,49-2000,Anderson,10,1.0
HALL,Anderson GS,Anderson GS,2000-12-06,Single,2000-12-04,GS,49-2000,Anderson,10,1.0
HALL,Anderson GS,Anderson GS,2000-12-07,Single,2000-12-04,GS,49-2000,Anderson,10,1.0
HALL,Anderson GS,Anderson GS,2000-12-08,Single,2000-12-04,GS,49-2000,Anderson,10,1.0
HARWELL,12th Cir. CPNJ,12th Cir. CPNJ,2000-12-04,Single,2000-12-04,CPNJ,49-2000,12th Cir.,12,1.0
HARWELL,12th Cir. CPNJ,12th Cir. CPNJ,2000-12-05,Single,2000-12-04,CPNJ,49-2000,12th Cir.,12,1.0
