Date,County,Circuit,Counts,OffenseSeriousness,OffenseCode,OffenseType,Sentence,Statute,JudgeID,Trial,Incarceration,Age,Black,EventID,CriminalHistory,Sex,ExpMinSentence,HomeCircuit,Week,JudgeName,Plea,ImputedDate,Imputation,WorkType
2000-07-10,York,16,3,3,13,Assault,24.0,"C/L, 17-25-0030",Judge 1,0,1,18,1,155,none,Male,6.0,16.0,28-2000,ALFORD,1,,None,GS
2000-07-10,York,16,1,2,57,Other,0.0,56-01-1100,Judge 1,0,0,54,0,156,moderate,Male,0.0,16.0,28-2000,ALFORD,1,,None,GS
2000-07-10,York,16,1,1,65,Other,0.0,56-05-0750(B)(1),Judge 1,0,0,37,0,157,none,Male,0.0,16.0,28-2000,ALFORD,1,,None,GS
2000-07-10,York,16,1,2,100,Drug Possesion,0.0,44-53-0375(A),Judge 1,0,0,32,0,158,none,Male,0.0,16.0,28-2000,ALFORD,1,,None,GS
2000-07-10,York,16,1,3,107,Drug Distribution,0.0,44-53-0445(B)(1),Judge 1,0,0,24,0,159,none,Male,0.0,16.0,28-2000,ALFORD,1,,None,GS
2000-07-10,York,16,3,3,107,Drug Distribution,84.0,44-53-0445(B)(1),Judge 1,0,1,19,1,160,moderate,Male,21.0,16.0,28-2000,ALFORD,1,,None,GS
2000-07-10,York,16,1,2,186,Drug Distribution,0.0,44-53-0370(b)(2),Judge 1,0,0,42,1,161,none,Female,0.0,16.0,28-2000,ALFORD,1,,None,GS
2000-07-10,York,16,1,2,186,Drug Distribution,0.0,44-53-0370(b)(2),Judge 1,0,0,38,0,162,minimal,Female,0.0,16.0,28-2000,ALFORD,1,,None,GS
2000-07-11,York,16,3,2,57,Other,24.0,56-01-1100,Judge 1,1,1,26,1,163,moderate,Male,6.0,16.0,28-2000,ALFORD,0,,None,GS
2000-07-11,York,16,3,7,113,Drug Distribution,72.0,44-53-0375(B)(2),Judge 1,0,1,18,1,164,none,Male,61.199999999999996,16.0,28-2000,ALFORD,1,,None,GS
2000-07-11,York,16,1,7,139,Robbery,180.0,16-11-0330(A),Judge 1,0,1,28,1,165,extensive,Male,153.0,16.0,28-2000,ALFORD,1,,None,GS
2000-07-11,York,16,1,2,538,Theft,0.0,16-21-0080(2),Judge 1,0,0,21,1,166,none,Male,0.0,16.0,28-2000,ALFORD,1,,None,GS
2000-07-12,York,16,9,2,2427,Fraud,36.0,16-13-0010(B)(2),Judge 1,0,1,37,0,167,voluminous,Male,9.0,16.0,28-2000,ALFORD,1,,None,GS
2000-07-13,York,16,1,2,57,Other,5.0,56-01-1100,Judge 1,0,1,37,1,168,moderate,Male,1.25,16.0,28-2000,ALFORD,1,,None,GS
2000-07-13,York,16,1,2,100,Drug Possesion,0.0,44-53-0375(A),Judge 1,0,0,18,0,169,none,Male,0.0,16.0,28-2000,ALFORD,1,,None,GS
2000-07-13,York,16,2,3,107,Drug Distribution,12.0,44-53-0445(B)(1),Judge 1,0,1,40,1,170,none,Female,3.0,16.0,28-2000,ALFORD,1,,None,GS
2000-07-13,York,16,1,2,478,Theft,0.0,16-13-0030(B)(1),Judge 1,0,0,33,0,171,minimal,Male,0.0,16.0,28-2000,ALFORD,1,,None,GS
2000-07-13,York,16,2,3,514,Theft,12.0,16-13-0180(3),Judge 1,0,1,19,1,172,extensive,Male,3.0,16.0,28-2000,ALFORD,1,,None,GS
2000-07-14,York,16,4,3,13,Assault,12.0,"C/L, 17-25-0030",Judge 1,0,1,65,0,173,moderate,Male,3.0,16.0,28-2000,ALFORD,1,,None,GS
2000-07-14,York,16,1,2,49,Other,0.0,16-17-0410,Judge 1,0,0,17,1,174,minimal,Male,0.0,16.0,28-2000,ALFORD,1,,None,GS
2000-07-14,York,16,1,2,57,Other,0.0,56-01-1100,Judge 1,0,0,46,0,175,minimal,Male,0.0,16.0,28-2000,ALFORD,1,,None,GS
2000-07-14,York,16,1,2,112,Drug Distribution,60.0,44-53-0375(B)(1),Judge 1,0,1,31,0,176,moderate,Male,15.0,16.0,28-2000,ALFORD,1,,None,GS
2000-07-14,York,16,2,4,137,Robbery,60.0,16-11-0325,Judge 1,0,1,28,1,177,minimal,Male,15.0,16.0,28-2000,ALFORD,1,,None,GS
2000-07-14,York,16,1,2,478,Theft,6.0,16-13-0030(B)(1),Judge 1,0,1,23,1,178,moderate,Male,1.5,16.0,28-2000,ALFORD,1,,None,GS
2000-07-14,York,16,1,4,2468,Other,0.0,16-15-0140,Judge 1,0,0,31,0,179,minimal,Male,0.0,16.0,28-2000,ALFORD,1,,None,GS
2000-08-08,York,16,1,2,49,Other,0.0,16-17-0410,Judge 1,0,0,18,0,180,none,Male,0.0,16.0,32-2000,ALFORD,1,,None,GS
2000-08-08,York,16,4,2,478,Theft,30.0,16-13-0030(B)(1),Judge 1,0,1,39,0,181,extensive,Male,7.5,16.0,32-2000,ALFORD,1,,None,GS
2000-08-09,York,16,1,2,100,Drug Possesion,0.0,44-53-0375(A),Judge 1,0,0,28,1,182,none,Female,0.0,16.0,32-2000,ALFORD,1,,None,GS
2000-08-09,York,16,1,3,107,Drug Distribution,0.0,44-53-0445(B)(1),Judge 1,0,0,18,1,183,none,Female,0.0,16.0,32-2000,ALFORD,1,,None,GS
2000-08-10,York,16,1,3,13,Assault,0.0,"C/L, 17-25-0030",Judge 1,0,0,29,1,184,none,Male,0.0,16.0,32-2000,ALFORD,1,,None,GS
2000-08-10,York,16,2,1,164,Other,36.0,"56-05-2930, 2940(3)",Judge 1,0,1,40,0,185,moderate,Male,9.0,16.0,32-2000,ALFORD,1,,None,GS
2000-08-10,York,16,1,2,186,Drug Distribution,0.0,44-53-0370(b)(2),Judge 1,0,0,26,0,186,none,Male,0.0,16.0,32-2000,ALFORD,1,,None,GS
2000-08-10,York,16,2,5,188,Drug Distribution,72.0,44-53-0370(b)(2),Judge 1,0,1,45,0,187,moderate,Male,72.0,16.0,32-2000,ALFORD,1,,None,GS
2000-08-11,York,16,2,3,9,Assault,60.0,Common Law,Judge 1,0,1,24,1,188,moderate,Male,15.0,16.0,32-2000,ALFORD,1,,None,GS
2000-08-11,York,16,1,1,65,Other,12.0,56-05-0750(B)(1),Judge 1,0,1,23,1,189,minimal,Male,3.0,16.0,32-2000,ALFORD,1,,None,GS
2000-08-11,York,16,1,2,100,Drug Possesion,0.0,44-53-0375(A),Judge 1,0,0,26,0,190,none,Female,0.0,16.0,32-2000,ALFORD,1,,None,GS
2000-08-11,York,16,2,2,112,Drug Distribution,72.0,44-53-0375(B)(1),Judge 1,0,1,39,1,191,none,Male,18.0,16.0,32-2000,ALFORD,1,,None,GS
2000-08-11,York,16,3,7,113,Drug Distribution,72.0,44-53-0375(B)(2),Judge 1,0,1,24,1,192,moderate,Male,61.199999999999996,16.0,32-2000,ALFORD,1,,None,GS
2000-08-11,York,16,4,7,114,Drug Distribution,180.0,44-53-0375(B)(3),Judge 1,0,1,33,1,193,extensive,Male,153.0,16.0,32-2000,ALFORD,1,,None,GS
2000-08-11,Kershaw,5,2,2,124,Other,6.0,16-11-0020,Judge 1,0,1,26,0,194,moderate,Male,1.5,16.0,32-2000,ALFORD,1,,None,Disagree
2000-08-11,York,16,1,3,1113,Other,6.0,12-21-2790,Judge 1,0,1,29,0,195,voluminous,Male,1.5,16.0,32-2000,ALFORD,1,,None,GS
2000-08-22,York,16,4,4,2468,Other,144.0,16-15-0140,Judge 1,0,1,22,0,196,moderate,Male,36.0,16.0,34-2000,ALFORD,1,,None,GS
2000-08-25,York,16,1,1,48,Other,0.0,16-17-0490,Judge 1,0,0,33,1,197,none,Male,0.0,16.0,34-2000,ALFORD,1,,None,GS
2000-08-25,Union,16,31,4,86,Burglary,98.0,16-11-0312(B),Judge 1,0,1,31,0,198,moderate,Male,32.34,16.0,34-2000,ALFORD,1,,None,Disagree
2000-08-25,York,16,1,5,396,Rape,60.0,16-03-0655(2),Judge 1,0,1,41,1,199,none,Male,51.0,16.0,34-2000,ALFORD,1,,None,GS
2000-09-02,Union,16,1,4,80,Burglary,96.0,16-11-0312(A),Judge 1,0,1,47,1,200,voluminous,Male,24.0,16.0,35-2000,ALFORD,1,,None,Disagree
2000-09-11,York,16,1,3,13,Assault,0.0,"C/L, 17-25-0030",Judge 1,0,0,18,0,201,minimal,Female,0.0,16.0,37-2000,ALFORD,1,,None,GS
2000-09-11,York,16,1,3,13,Assault,0.0,"C/L, 17-25-0030",Judge 1,0,0,17,0,202,none,Male,0.0,16.0,37-2000,ALFORD,1,,None,GS
2000-09-11,York,16,1,1,65,Other,0.0,56-05-0750(B)(1),Judge 1,0,0,38,0,203,minimal,Male,0.0,16.0,37-2000,ALFORD,1,,None,GS
2000-09-11,York,16,1,2,100,Drug Possesion,0.0,44-53-0375(A),Judge 1,0,0,44,1,204,extensive,Male,0.0,16.0,37-2000,ALFORD,1,,None,GS
2000-09-11,York,16,2,7,113,Drug Distribution,72.0,44-53-0375(B)(2),Judge 1,0,1,23,0,205,moderate,Male,61.199999999999996,16.0,37-2000,ALFORD,1,,None,GS
2000-09-11,York,16,1,2,561,Drug Distribution,0.0,44-53-0390,Judge 1,0,0,39,0,206,none,Female,0.0,16.0,37-2000,ALFORD,1,,None,GS
2000-09-12,York,16,7,2,112,Drug Distribution,144.0,44-53-0375(B)(1),Judge 1,0,1,29,1,207,minimal,Male,36.0,16.0,37-2000,ALFORD,1,,None,GS
2000-09-12,York,16,1,5,188,Drug Distribution,60.0,44-53-0370(b)(2),Judge 1,0,1,72,0,208,moderate,Male,60.0,16.0,37-2000,ALFORD,1,,None,GS
2000-09-14,York,16,1,1,65,Other,0.0,56-05-0750(B)(1),Judge 1,0,0,25,0,209,none,Male,0.0,16.0,37-2000,ALFORD,1,,None,GS
2000-09-14,York,16,1,2,478,Theft,0.0,16-13-0030(B)(1),Judge 1,0,0,51,0,210,minimal,Male,0.0,16.0,37-2000,ALFORD,1,,None,GS
2000-09-15,Spartanburg,7,4,7,139,Robbery,180.0,16-11-0330(A),Judge 1,0,1,28,0,211,none,Male,153.0,16.0,37-2000,ALFORD,1,,None,Disagree
2000-09-15,York,16,1,2,297,Drug Possesion,0.0,44-53-0040(B),Judge 1,0,0,34,0,212,minimal,Female,0.0,16.0,37-2000,ALFORD,1,,None,GS
2000-09-15,York,16,2,5,396,Rape,72.0,16-03-0655(2),Judge 1,0,1,23,0,213,none,Male,61.199999999999996,16.0,37-2000,ALFORD,1,,None,GS
2000-09-15,York,16,5,5,396,Rape,72.0,16-03-0655(2),Judge 1,0,1,19,1,214,moderate,Male,61.199999999999996,16.0,37-2000,ALFORD,1,,None,GS
2000-09-15,York,16,1,3,430,Theft,0.0,16-21-0080(3),Judge 1,0,0,17,1,215,minimal,Male,0.0,16.0,37-2000,ALFORD,1,,None,GS
2000-09-15,York,16,1,2,478,Theft,0.0,16-13-0030(B)(1),Judge 1,0,0,18,0,216,none,Male,0.0,16.0,37-2000,ALFORD,1,,None,GS
2000-09-20,Union,16,1,3,13,Assault,120.0,"C/L, 17-25-0030",Judge 1,0,1,40,1,217,none,Male,30.0,16.0,38-2000,ALFORD,1,,None,GS
2000-09-21,Union,16,1,2,427,Burglary,0.0,16-11-0313,Judge 1,0,0,17,0,218,none,Male,0.0,16.0,38-2000,ALFORD,1,,None,GS
2000-09-28,York,16,1,3,13,Assault,36.0,"C/L, 17-25-0030",Judge 1,0,1,25,0,219,extensive,Male,9.0,16.0,39-2000,ALFORD,1,,None,GS
2000-09-29,York,16,2,3,13,Assault,96.0,"C/L, 17-25-0030",Judge 1,0,1,22,0,220,minimal,Male,24.0,16.0,39-2000,ALFORD,1,,None,GS
2000-09-29,York,16,1,1,65,Other,0.0,56-05-0750(B)(1),Judge 1,0,0,29,1,221,minimal,Male,0.0,16.0,39-2000,ALFORD,1,,None,GS
2000-09-29,York,16,2,2,112,Drug Distribution,48.0,44-53-0375(B)(1),Judge 1,0,1,22,1,222,moderate,Male,12.0,16.0,39-2000,ALFORD,1,,None,GS
2000-09-29,York,16,7,7,113,Drug Distribution,60.0,44-53-0375(B)(2),Judge 1,0,1,21,1,223,moderate,Male,51.0,16.0,39-2000,ALFORD,1,,None,GS
2000-09-29,York,16,2,4,137,Robbery,36.0,16-11-0325,Judge 1,0,1,21,0,224,minimal,Male,9.0,16.0,39-2000,ALFORD,1,,None,GS
2000-09-29,York,16,1,2,186,Drug Distribution,0.0,44-53-0370(b)(2),Judge 1,0,0,29,1,225,none,Male,0.0,16.0,39-2000,ALFORD,1,,None,GS
2000-09-29,York,16,3,3,430,Theft,24.0,16-21-0080(3),Judge 1,0,1,20,1,226,moderate,Male,6.0,16.0,39-2000,ALFORD,1,,None,GS
2000-09-29,York,16,4,4,2468,Other,0.0,16-15-0140,Judge 1,0,0,29,0,227,none,Male,0.0,16.0,39-2000,ALFORD,1,,None,GS
2000-10-11,York,16,1,3,13,Assault,0.0,"C/L, 17-25-0030",Judge 1,0,0,39,0,228,none,Male,0.0,16.0,41-2000,ALFORD,1,,None,GS
2000-10-11,Fairfield,6,8,1,164,Other,32.0,"56-05-2930, 2940(3)",Judge 1,0,1,35,1,229,extensive,Male,8.0,16.0,41-2000,ALFORD,1,,None,Disagree
2000-10-12,York,16,2,3,87,Other,6.0,"16-17-0430(A)(1)(2)(4), (B)(1)",Judge 1,0,1,43,0,230,moderate,Male,1.5,16.0,41-2000,ALFORD,1,,None,GS
2000-10-12,York,16,1,2,100,Drug Possesion,0.0,44-53-0375(A),Judge 1,0,0,31,0,231,none,Male,0.0,16.0,41-2000,ALFORD,1,,None,GS
2000-10-12,York,16,3,1,164,Other,6.0,"56-05-2930, 2940(3)",Judge 1,0,1,37,1,232,extensive,Female,1.5,16.0,41-2000,ALFORD,1,,None,GS
2000-10-12,York,16,1,2,186,Drug Distribution,0.0,44-53-0370(b)(2),Judge 1,0,0,27,0,233,minimal,Male,0.0,16.0,41-2000,ALFORD,1,,None,GS
2000-10-12,York,16,1,3,479,Theft,0.0,16-13-0030(B)(2),Judge 1,0,0,17,0,234,none,Male,0.0,16.0,41-2000,ALFORD,1,,None,GS
2000-10-13,York,16,2,3,107,Drug Distribution,12.0,44-53-0445(B)(1),Judge 1,0,1,19,1,235,none,Male,3.0,16.0,41-2000,ALFORD,1,,None,GS
2000-10-13,York,16,2,4,137,Robbery,180.0,16-11-0325,Judge 1,0,1,28,1,236,moderate,Male,45.0,16.0,41-2000,ALFORD,1,,None,GS
2000-10-13,York,16,6,7,139,Robbery,180.0,16-11-0330(A),Judge 1,0,1,19,1,237,minimal,Male,153.0,16.0,41-2000,ALFORD,1,,None,GS
2000-10-13,York,16,2,2,478,Theft,12.0,16-13-0030(B)(1),Judge 1,0,1,16,0,238,none,Male,3.0,16.0,41-2000,ALFORD,1,,None,GS
2000-10-16,Union,16,1,3,9,Assault,0.0,Common Law,Judge 1,0,0,20,1,239,none,Male,0.0,16.0,42-2000,ALFORD,1,,None,GS
2000-10-16,Union,16,1,3,13,Assault,0.0,"C/L, 17-25-0030",Judge 1,0,0,26,1,240,minimal,Female,0.0,16.0,42-2000,ALFORD,1,,None,GS
2000-10-16,Union,16,1,4,80,Burglary,0.0,16-11-0312(A),Judge 1,0,0,22,1,241,none,Female,0.0,16.0,42-2000,ALFORD,1,,None,GS
2000-10-16,Union,16,1,3,87,Other,0.0,"16-17-0430(A)(1)(2)(4), (B)(1)",Judge 1,0,0,20,0,242,none,Male,0.0,16.0,42-2000,ALFORD,1,,None,GS
2000-10-16,Union,16,1,1,164,Other,0.0,"56-05-2930, 2940(3)",Judge 1,0,0,38,1,243,minimal,Male,0.0,16.0,42-2000,ALFORD,1,,None,GS
2000-10-16,Union,16,1,2,427,Burglary,0.0,16-11-0313,Judge 1,0,0,16,0,244,none,Male,0.0,16.0,42-2000,ALFORD,1,,None,GS
2000-10-16,Union,16,2,2,427,Burglary,24.0,16-11-0313,Judge 1,0,1,30,1,245,voluminous,Male,6.0,16.0,42-2000,ALFORD,1,,None,GS
