JudgeName,FullAssignment,Week,Assignment,County
ALFORD,Union GS,49-2000,Union GS,Union
BARBER,Richland CP,49-2000,Richland CP,Richland
BAXLEY,Williamsburg GS,49-2000,Williamsburg GS,Williamsburg
BEATTY,7th Cir. CPNJ,49-2000,7th Cir. CPNJ,na
BREEDEN,Horry GS,49-2000,Horry GS,Horry
BROGDON,Marion GS,49-2000,Marion GS,Marion
BUCKNER,Colleton GS,49-2000,Colleton GS,Colleton
BURCH,Jasper CP,49-2000,Jasper CP,Jasper
CLARY,Medical,49-2000,Medical,na
COLE,Cherokee CP,49-2000,Cherokee CP,Cherokee
COOPER TW,Lee GS ,49-2000,Lee GS ,Lee
DENNIS,Berkeley CP + Charleston GS(SGJ) 8,49-2000,Berkeley CP ,Berkeley
FEW,Greenville GS,49-2000,Greenville GS,Greenville
FLOYD H,13th Cir. CPNJ/PCR,49-2000,13th Cir. CPNJ/PCR,na
FLOYD S,Horry GS,49-2000,Horry GS,Horry
GOODE,Lexington CP,49-2000,Lexington CP,Lexington
GOODSTEIN,Orangeburg GS,49-2000,Orangeburg GS,Orangeburg
GREGORY,Beaufort GS,49-2000,Beaufort GS,Beaufort
HALL,Anderson GS,49-2000,Anderson GS,Anderson
HARWELL,12th Cir. CPNJ,49-2000,12th Cir. CPNJ,na
HAYES,York CP,49-2000,York CP,York
JOHNSON,Laurens GS,49-2000,Laurens GS,Laurens
KEESLEY,Sick,49-2000,Sick,na
KINARD,Kershaw GS,49-2000,Kershaw GS,Kershaw
KING,Sumter CP,49-2000,Sumter CP,Sumter
KITTREDGE,Greenville CP,49-2000,Greenville CP,Greenville
LEE,Richland CP,49-2000,Richland CP,Richland
LOCKEMY,Chesterfield GS,49-2000,Chesterfield GS,Chester
MACAULAY,10th Cir. CPNJ/PCR,49-2000,10th Cir. CPNJ/PCR,na
MANNING,Richland GS,49-2000,Richland GS,Richland
MARTIN,Charleston GS,49-2000,Charleston GS,Charleston
MCKELLAR,Charleston CP,49-2000,Charleston CP,Charleston
MILLING,14th Cir. CPNJ,49-2000,14th Cir. CPNJ,na
NICHOLSON,Anderson CP,49-2000,Anderson CP,Anderson
PATTERSON,Greenville GS,49-2000,Greenville GS,Greenville
PEEPLES,X,49-2000,X,na
PIEPER,Berkeley GS,49-2000,Berkeley GS,Berkeley
RAWL,Beaufort CP,49-2000,Beaufort CP,Beaufort
SAUNDERS,Greenwood GS,49-2000,Greenwood GS,Greenwood
SHORT,Lancaster GS,49-2000,Lancaster GS,Lancaster
THOMAS,15th Cir. CPNJ + Horry GS CP CC 5,49-2000,15th Cir. CPNJ ,na
WATSON,11th Cir. CPNJ,49-2000,11th Cir. CPNJ,na
WESTBROOK,Lexington GS,49-2000,Lexington GS,Lexington
WILLIAMS,Richland GS,49-2000,Richland GS,Richland
BROWN,Charleston GS,49-2000,Charleston GS,Charleston
COTTINGHAM,Dillon GS,49-2000,Dillon GS,Dillon
HUGHSTON,Dorchester CP,49-2000,Dorchester CP,Dorchester
PYLE,Pickens CP,49-2000,Pickens CP,Pickens
SMOAK,Spartanburg GS,49-2000,Spartanburg GS,Spartanburg
COOPER GT,X,49-2000,X,na
NEWMAN,Clarendon CP,49-2000,Clarendon CP,Clarendon
SIMMONS,na,49-2000,na,na
GIER,na,49-2000,na,na
BERGDORF,Orangeburg CPNJ 6,49-2000,Orangeburg CPNJ 6,Orangeburg
ALFORD,York GS,50-2000,York GS,York
BARBER,X,50-2000,X,na
BAXLEY,X,50-2000,X,na
BEATTY,X,50-2000,X,na
BREEDEN,Horry CP,50-2000,Horry CP,Horry
BROGDON,Marion CP,50-2000,Marion CP,Marion
BUCKNER,X,50-2000,X,na
BURCH,X,50-2000,X,na
CLARY,Medical,50-2000,Medical,na
COLE,Spartanburg GS,50-2000,Spartanburg GS,Spartanburg
COOPER TW,Lee GS + Aiken GS CC 15,50-2000,Lee GS ,Lee
