Date,County,Circuit,Counts,OffenseSeriousness,OffenseCode,OffenseType,Sentence,Statute,JudgeID,Trial,Incarceration,Age,Black,EventID,CriminalHistory,ExpMinSentence,Week
2000-07-10,York,16,3,3,13,Assault,24.0,"C/L, 17-25-0030",Judge 1,0,1,18,1,155,none,6.0,28-2000
2000-07-10,York,16,1,2,57,Other,0.0,56-01-1100,Judge 1,0,0,54,0,156,moderate,0.0,28-2000
2000-07-10,York,16,1,1,65,Other,0.0,56-05-0750(B)(1),Judge 1,0,0,37,0,157,none,0.0,28-2000
2000-07-10,York,16,1,2,100,Drug Possesion,0.0,44-53-0375(A),Judge 1,0,0,32,0,158,none,0.0,28-2000
2000-07-10,York,16,1,3,107,Drug Distribution,0.0,44-53-0445(B)(1),Judge 1,0,0,24,0,159,none,0.0,28-2000
2000-07-10,York,16,3,3,107,Drug Distribution,84.0,44-53-0445(B)(1),Judge 1,0,1,19,1,160,moderate,21.0,28-2000
2000-07-10,York,16,1,2,186,Drug Distribution,0.0,44-53-0370(b)(2),Judge 1,0,0,42,1,161,none,0.0,28-2000
2000-07-10,York,16,1,2,186,Drug Distribution,0.0,44-53-0370(b)(2),Judge 1,0,0,38,0,162,minimal,0.0,28-2000
2000-07-11,York,16,3,2,57,Other,24.0,56-01-1100,Judge 1,1,1,26,1,163,moderate,6.0,28-2000
2000-07-11,York,16,3,7,113,Drug Distribution,72.0,44-53-0375(B)(2),Judge 1,0,1,18,1,164,none,61.199999999999996,28-2000
2000-07-11,York,16,1,7,139,Robbery,180.0,16-11-0330(A),Judge 1,0,1,28,1,165,extensive,153.0,28-2000
2000-07-11,York,16,1,2,538,Theft,0.0,16-21-0080(2),Judge 1,0,0,21,1,166,none,0.0,28-2000
2000-07-12,York,16,9,2,2427,Fraud,36.0,16-13-0010(B)(2),Judge 1,0,1,37,0,167,voluminous,9.0,28-2000
2000-07-13,York,16,1,2,57,Other,5.0,56-01-1100,Judge 1,0,1,37,1,168,moderate,1.25,28-2000
2000-07-13,York,16,1,2,100,Drug Possesion,0.0,44-53-0375(A),Judge 1,0,0,18,0,169,none,0.0,28-2000
2000-07-13,York,16,2,3,107,Drug Distribution,12.0,44-53-0445(B)(1),Judge 1,0,1,40,1,170,none,3.0,28-2000
2000-07-13,York,16,1,2,478,Theft,0.0,16-13-0030(B)(1),Judge 1,0,0,33,0,171,minimal,0.0,28-2000
2000-07-13,York,16,2,3,514,Theft,12.0,16-13-0180(3),Judge 1,0,1,19,1,172,extensive,3.0,28-2000
2000-07-14,York,16,4,3,13,Assault,12.0,"C/L, 17-25-0030",Judge 1,0,1,65,0,173,moderate,3.0,28-2000
2000-07-14,York,16,1,2,49,Other,0.0,16-17-0410,Judge 1,0,0,17,1,174,minimal,0.0,28-2000
2000-07-14,York,16,1,2,57,Other,0.0,56-01-1100,Judge 1,0,0,46,0,175,minimal,0.0,28-2000
2000-07-14,York,16,1,2,112,Drug Distribution,60.0,44-53-0375(B)(1),Judge 1,0,1,31,0,176,moderate,15.0,28-2000
