JudgeName,FullAssignment,Week,Assignment
ALFORD,Union GS,49-2000,Union GS
BARBER,Richland CP,49-2000,Richland CP
BAXLEY,Williamsburg GS,49-2000,Williamsburg GS
BEATTY,7th Cir. CPNJ,49-2000,7th Cir. CPNJ
BREEDEN,Horry GS,49-2000,Horry GS
BROGDON,Marion GS,49-2000,Marion GS
BUCKNER,Colleton GS,49-2000,Colleton GS
BURCH,Jasper CP,49-2000,Jasper CP
CLARY,Medical,49-2000,Medical
COLE,Cherokee CP,49-2000,Cherokee CP
COOPER TW,Lee GS ,49-2000,Lee GS 
DENNIS,Berkeley CP + Charleston GS(SGJ) 8,49-2000,Berkeley CP 
FEW,Greenville GS,49-2000,Greenville GS
FLOYD H,13th Cir. CPNJ/PCR,49-2000,13th Cir. CPNJ/PCR
FLOYD S,Horry GS,49-2000,Horry GS
GOODE,Lexington CP,49-2000,Lexington CP
GOODSTEIN,Orangeburg GS,49-2000,Orangeburg GS
GREGORY,Beaufort GS,49-2000,Beaufort GS
HALL,Anderson GS,49-2000,Anderson GS
HARWELL,12th Cir. CPNJ,49-2000,12th Cir. CPNJ
HAYES,York CP,49-2000,York CP
JOHNSON,Laurens GS,49-2000,Laurens GS
KEESLEY,Sick,49-2000,Sick
KINARD,Kershaw GS,49-2000,Kershaw GS
KING,Sumter CP,49-2000,Sumter CP
KITTREDGE,Greenville CP,49-2000,Greenville CP
LEE,Richland CP,49-2000,Richland CP
LOCKEMY,Chesterfield GS,49-2000,Chesterfield GS
MACAULAY,10th Cir. CPNJ/PCR,49-2000,10th Cir. CPNJ/PCR
MANNING,Richland GS,49-2000,Richland GS
MARTIN,Charleston GS,49-2000,Charleston GS
MCKELLAR,Charleston CP,49-2000,Charleston CP
MILLING,14th Cir. CPNJ,49-2000,14th Cir. CPNJ
NICHOLSON,Anderson CP,49-2000,Anderson CP
PATTERSON,Greenville GS,49-2000,Greenville GS
PEEPLES,X,49-2000,X
PIEPER,Berkeley GS,49-2000,Berkeley GS
RAWL,Beaufort CP,49-2000,Beaufort CP
SAUNDERS,Greenwood GS,49-2000,Greenwood GS
SHORT,Lancaster GS,49-2000,Lancaster GS
THOMAS,15th Cir. CPNJ + Horry GS CP CC 5,49-2000,15th Cir. CPNJ 
WATSON,11th Cir. CPNJ,49-2000,11th Cir. CPNJ
WESTBROOK,Lexington GS,49-2000,Lexington GS
WILLIAMS,Richland GS,49-2000,Richland GS
BROWN,Charleston GS,49-2000,Charleston GS
COTTINGHAM,Dillon GS,49-2000,Dillon GS
HUGHSTON,Dorchester CP,49-2000,Dorchester CP
PYLE,Pickens CP,49-2000,Pickens CP
SMOAK,Spartanburg GS,49-2000,Spartanburg GS
COOPER GT,X,49-2000,X
NEWMAN,Clarendon CP,49-2000,Clarendon CP
SIMMONS,na,49-2000,na
GIER,na,49-2000,na
BERGDORF,Orangeburg CPNJ 6,49-2000,Orangeburg CPNJ 6
ALFORD,York GS,50-2000,York GS
BARBER,X,50-2000,X
BAXLEY,X,50-2000,X
BEATTY,X,50-2000,X
BREEDEN,Horry CP,50-2000,Horry CP
BROGDON,Marion CP,50-2000,Marion CP
BUCKNER,X,50-2000,X
BURCH,X,50-2000,X
CLARY,Medical,50-2000,Medical
COLE,Spartanburg GS,50-2000,Spartanburg GS
COOPER TW,Lee GS + Aiken GS CC 15,50-2000,Lee GS 
DENNIS,Berkeley CP + Sumter GS(SGJ) + Charleston CP CC,50-2000,Berkeley CP 
FEW,13th Cir. CPNJ,50-2000,13th Cir. CPNJ
FLOYD H,X,50-2000,X
FLOYD S,Horry GS,50-2000,Horry GS
GOODE,Lancaster GS,50-2000,Lancaster GS
GOODSTEIN,X,50-2000,X
GREGORY,Beaufort GS,50-2000,Beaufort GS
HALL,Anderson GS,50-2000,Anderson GS
HARWELL,Florence GS,50-2000,Florence GS
HAYES,York GS,50-2000,York GS
JOHNSON,Anderson GS,50-2000,Anderson GS
KEESLEY,Sick,50-2000,Sick
KINARD,Richland GS,50-2000,Richland GS
KING,Clarendon GS,50-2000,Clarendon GS
KITTREDGE,Greenville GS,50-2000,Greenville GS
LEE,Orangeburg CP,50-2000,Orangeburg CP
LOCKEMY,Florence CP,50-2000,Florence CP
MACAULAY,Oconee GS,50-2000,Oconee GS
MANNING,5th Cir. CPNJ/PCR,50-2000,5th Cir. CPNJ/PCR
MARTIN,Charleston CP,50-2000,Charleston CP
MCKELLAR,5th Cir. CPNJ,50-2000,5th Cir. CPNJ
MILLING,"4th Cir. CPNJ 11 + X 12,13,14,15",50-2000,4th Cir. CPNJ 11 
NICHOLSON,Anderson CP,50-2000,Anderson CP
PATTERSON,Greenville GS,50-2000,Greenville GS
PEEPLES,X,50-2000,X
PIEPER,X,50-2000,X
RAWL,Charleston CP,50-2000,Charleston CP
SAUNDERS,Greenwood GS,50-2000,Greenwood GS
SHORT,Chester CP,50-2000,Chester CP
THOMAS,Georgetown GS,50-2000,Georgetown GS
WATSON,X,50-2000,X
WESTBROOK,X,50-2000,X
WILLIAMS,Richland GS,50-2000,Richland GS
BROWN,Charleston GS,50-2000,Charleston GS
COTTINGHAM,Darlington GS,50-2000,Darlington GS
HUGHSTON,Dorchester CP,50-2000,Dorchester CP
PYLE,Pickens GS,50-2000,Pickens GS
SMOAK,Aiken GS CC + Barnwell GS CC + Bamberg GS,50-2000,Aiken GS CC 
