County,Circuit
Abbeville,8
Aiken,2
Allendale,14
Anderson,10
Bamberg,2
Barnwell,2
Beaufort,14
Berkeley,9
Calhoun,1
Charleston,9
Cherokee,7
Chester,6
Chesterfield,4
Clarendon,3
Colleton,14
Darlington,4
Dillon,4
Dorchester,1
Edgefield,11
Fairfield,6
Florence,12
Georgetown,15
Greenville,13
Greenwood,8
Hampton,14
Horry,15
Jasper,14
Kershaw,5
Lancaster,6
Laurens,8
Lee,3
Lexington,11
Marion,12
Marlboro,4
McCormick,11
Newberry,8
Oconee,10
Orangeburg,1
Pickens,13
Richland,5
Saluda,11
Spartanburg,7
Sumter,3
Union,16
Williamsburg,3
York,16
