JudgeID,County,Circuit,Non-Circuit
Judge 1,0.38,0.10,0.52
Judge 10,0.08,,0.92
Judge 11,0.66,0.20,0.15
Judge 12,0.25,0.05,0.70
Judge 13,0.23,0.22,0.55
Judge 14,0.15,0.05,0.80
Judge 15,0.09,,0.91
Judge 16,0.22,0.07,0.71
Judge 17,0.44,0.34,0.23
Judge 18,0.37,0.13,0.50
Judge 19,0.16,,0.84
Judge 2,0.13,,0.87
Judge 20,0.24,0.18,0.58
Judge 21,0.31,0.21,0.47
Judge 22,0.29,0.15,0.55
Judge 23,0.44,0.20,0.37
Judge 24,0.42,0.11,0.47
Judge 25,,,1.00
Judge 26,0.32,0.18,0.50
Judge 27,0.41,0.20,0.39
Judge 28,0.23,0.14,0.62
Judge 29,0.27,0.22,0.51
Judge 3,0.20,0.07,0.73
Judge 30,0.35,0.08,0.56
Judge 31,0.15,,0.85
Judge 32,0.11,,0.89
Judge 33,0.27,0.12,0.61
Judge 34,0.24,0.17,0.58
Judge 35,0.41,0.08,0.51
Judge 36,0.15,,0.85
Judge 37,0.13,,0.87
Judge 38,0.15,,0.85
Judge 39,0.12,,0.88
Judge 4,0.38,0.08,0.54
Judge 40,0.67,0.15,0.19
Judge 41,0.75,0.15,0.10
Judge 42,0.24,0.07,0.69
Judge 43,0.26,0.22,0.52
Judge 44,0.26,0.15,0.59
Judge 45,0.26,0.23,0.51
Judge 46,0.02,0.03,0.95
Judge 47,0.41,0.20,0.39
Judge 48,0.14,,0.86
Judge 49,0.31,0.19,0.50
Judge 5,0.11,,0.89
Judge 50,0.18,0.02,0.79
Judge 6,0.11,,0.89
Judge 7,,,1.00
Judge 8,0.21,0.16,0.63
Judge 9,0.24,0.08,0.68
