WorkType,Days,Share,SharePlea,ShareTrial,ShareEmpty
AW,125.50,0.01,0.04,0.00,0.96
CP,"3,112.67",0.25,0.03,0.00,0.97
CP CC,10.17,0.00,0.00,0.00,1.00
CP/PCR,14.50,0.00,0.03,0.00,0.97
CPNJ,"1,300.33",0.11,0.03,0.00,0.97
CPNJ CC,11.00,0.00,0.36,0.00,0.64
CPNJ/GS,0.50,0.00,1.00,0.00,0.00
CPNJ/PCR,289.50,0.02,0.04,0.00,0.96
Capital PCR,11.00,0.00,0.00,0.00,1.00
GS,"4,160.67",0.34,0.64,0.05,0.34
GS CC,75.67,0.01,0.39,0.07,0.56
GS CP CC,53.00,0.00,0.36,0.06,0.58
GS(SGJ),70.67,0.01,0.33,0.07,0.65
GS(SGJ) CC,0.33,0.00,0.00,0.00,1.00
GS(SGJ) CP,5.00,0.00,0.60,0.00,0.40
X,765.00,0.06,0.01,0.00,0.99
X-,1.00,0.00,0.00,0.00,1.00
XX,80.00,0.01,0.00,0.00,1.00
in chambers,"1,488.50",0.12,0.01,0.00,0.99
na,546.00,0.04,0.03,0.00,0.97
